Ano,D.Y,P/L,PEG RATIO,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Ticker,Tipo
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,81","-0,13","1,12","0,36","31,56%",-%,"14,48%","0,81%","-2,64%","0,34%","1,77%","0,42",-%,-%,ORVR3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"129,10","-0,22","1,21","0,17","25,36%",-%,"2,04%","0,65%","-0,97%","0,21%","-0,32%","0,32",-%,-%,ORVR3,acoes
ATUAL,-%,"-11,65","-0,23","0,55",-,"46,25",-,"15,77","3,87","0,19","-0,18","0,42","1,68","-0,26","1,06",-,"30,55","0,34","0,66","1,63","16,79%",-%,"2,66%","-3,60%","-4,70%","-1,62%","0,30%","0,45",-%,-%,OPCT3,acoes
2021,-%,"-12,66",-,"0,67","6,90","42,41","3,14","19,28","4,49","0,24","-0,24","0,68","1,33","-0,36","0,80","3,77","23,13","0,36","0,64","2,20","17,79%","21,67%","3,53%","-5,37%","-5,28%","-1,91%","1,04%","0,36",-%,-%,OPCT3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,03","4,22","8,98","0,14","0,86","1,29","19,48%","23,52%","11,06%","-3,55%","-14,43%","-2,03%","6,40%","0,57",-%,-%,OPCT3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,54","3,68","9,38","0,22","0,78","0,93","18,01%","23,38%","9,18%","2,17%","6,39%","1,38%","6,52%","0,64",-%,-%,OPCT3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,72","4,20","12,22","0,31","0,69","0,95","24,31%","20,13%","6,91%","-4,65%","-9,50%","-2,91%","3,34%","0,63",-%,-%,OPCT3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,12","3,69","8,45","0,39","0,61","1,39","23,96%","27,80%","12,14%","4,28%","4,68%","1,83%","4,60%","0,43",-%,-%,OPCT3,acoes
ATUAL,-%,"-7,31","-0,01","0,64",-,"-1,02",-,"-4,59","3,39","0,51","-0,30","0,74","0,90","-1,62","-0,50",-,"3,61","0,80","0,20","5,97","43,98%",-%,"-16,11%","-10,12%","-8,71%","-6,98%","-14,46%","0,69",-%,-%,WEST3,acoes
2021,-%,"-9,14",-,"1,01",-,"-2,41",-,"-6,03","3,45","0,79","-0,38","1,23","1,38","-2,79","-0,61",-,"3,62","0,77","0,23","4,82","43,59%",-%,"-20,36%","-13,43%","-11,08%","-8,59%","-18,36%","0,64",-%,-%,WEST3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-4,38",-,"-307,10","0,04","0,96","0,77","45,12%",-%,"0,03%","4,77%","269,11%","11,95%","-101,70%","2,51",-%,-%,WEST3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,02","-278,52","1.278,52","0,64","46,00%",-%,"1,44%","-1,13%","-17,25%","-4.804,43%","-532,46%","4.266,82",-%,-%,WEST3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,58","-281,49","1.281,49","0,71","44,23%",-%,"6,22%","2,38%","-40,05%","11.273,89%","-80,51%","4.732,40",-%,-%,WEST3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,18","-0,43","1,43","0,62","43,48%",-%,"5,93%","2,08%","-24,05%","10,38%","-60,53%","4,99",-%,-%,WEST3,acoes
ATUAL,"3,90%","18,30","0,00","0,88","3,22","4,20","3,07","4,01","3,82","0,26","0,18","0,69","1,92","-0,36","0,04","0,14","0,18","0,30","0,70","2,05","47,86%","22,31%","17,09%","3,74%","4,81%","1,43%","12,25%","0,38",-%,-%,CSED3,acoes
2021,-%,"35,44",-,"2,02","7,44","9,68","7,22","9,38","3,81","0,62","0,22","1,61","3,96","-0,85","0,06","0,23","0,29","0,30","0,70","2,33","47,27%","22,37%","17,21%","4,56%","5,71%","1,74%","11,78%","0,38",-%,-%,CSED3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,56","4,07","6,59","0,12","0,88","0,83","47,92%","15,81%","9,77%","-1,93%","-7,70%","-0,95%","9,18%","0,49",-%,-%,CSED3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,52","2,28","2,75","0,23","0,77","0,20","43,65%","23,07%","19,11%","8,20%","23,66%","5,50%","19,67%","0,67",-%,-%,CSED3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,79","2,97","3,52","0,26","0,74","0,87","41,69%","21,21%","17,92%","9,39%","26,70%","6,88%","17,24%","0,73",-%,-%,CSED3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,45","0,95","1,17","0,44","0,56","0,98","42,17%","18,12%","14,70%","8,64%","22,54%","9,95%","22,28%","1,15",-%,-%,CSED3,acoes
ATUAL,"1,77%","12,60","0,28","1,02","3,89","5,80","7,85","11,70","11,23","0,74","0,91","1,29","1,81","-2,04","-0,52","-3,98","-5,93","0,73","0,27","2,77","27,67%","16,44%","11,03%","10,24%","8,08%","5,86%","5,04%","0,57",-%,-%,BMOB3,acoes
2021,-%,"18,38",-,"1,34","7,35","10,26","11,69","16,31","11,33","0,96","0,83","2,83","2,50","-2,55","-0,50","-4,34","-6,05","0,71","0,29","2,58","37,20%","24,23%","17,36%","15,41%","7,32%","5,21%","5,01%","0,34",-%,-%,BMOB3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,72","-1,31","-1,79","0,34","0,66","0,74","59,25%","49,62%","36,20%","20,83%","23,11%","7,82%","25,51%","0,38",-%,-%,BMOB3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,00","0,00","0,00","0,00",-,"59,12%","41,88%","41,88%","23,57%",-%,"9,77%",-%,"0,41",-%,-%,BMOB3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,00","0,00","0,00","0,00",-,"58,33%","48,47%","48,47%","62,38%",-%,"27,61%",-%,"0,44",-%,-%,BMOB3,acoes
ATUAL,"3,74%",-,-,"1,74",-,-,-,-,"4,51","0,61","0,00","1,60","2,11","-1,17","0,67",-,-,"0,35","0,65","2,58","0,00%",-%,"0,00%","0,00%","0,00%","0,00%",-%,"0,38",-%,-%,JALL3,acoes
2021,"2,81%","7,93",-,"2,32",-,"5,03",-,"4,09","4,51","0,82","1,32","2,12","2,80","-1,56","0,62",-,"0,94","0,33","0,67","2,58","52,13%",-%,"51,89%","26,77%","34,15%","11,21%","22,40%","0,42",-%,-%,JALL3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,18","1,78","2,53","0,24","0,76","2,17","55,93%","67,91%","47,88%","15,70%","28,35%","6,70%","20,43%","0,43",-%,-%,JALL3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,70","2,02","3,63","0,27","0,73","2,51","30,67%","49,62%","27,65%","8,59%","14,52%","3,91%","12,91%","0,46",-%,-%,JALL3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,85",-,"3,97","0,23","0,77","2,73","23,56%",-%,"27,74%","9,37%","15,72%","3,69%","11,69%","0,39",-%,-%,JALL3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"26,81%",-%,"22,65%","6,28%",-%,-%,-%,-,-%,-%,JALL3,acoes
ATUAL,-%,"-2,90","-0,05","0,40",-,"-2,71",-,"-3,00","5,78","0,27","-0,80","0,35","0,58","-0,71","-0,05",-,"0,34","0,66","0,34","3,74","39,19%",-%,"-11,68%","-12,08%","-13,84%","-9,16%","-10,38%","0,76",-%,-%,MBLY3,acoes
2021,-%,"-6,13",-,"0,81",-,"-5,65",-,"-6,70","6,02","0,52","-0,80","0,72","1,10","-1,57","-0,13",-,"1,04","0,64","0,36","3,58","39,79%",-%,"-10,76%","-11,76%","-13,23%","-8,49%","-9,33%","0,72",-%,-%,MBLY3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-4,34","-0,06","1,06","0,83","40,05%",-%,"-3,59%","-6,67%","-215,23%","-12,98%","-21,92%","1,94",-%,-%,MBLY3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,86","-0,03","1,03","0,64","40,78%",-%,"-6,44%","-9,39%","-658,89%","-17,89%","-35,00%","1,90",-%,-%,MBLY3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,06","-0,03","1,03","0,80","40,88%",-%,"-4,06%","-6,64%","-646,56%","-18,04%","-110,60%","2,72",-%,-%,MBLY3,acoes
ATUAL,"3,11%","5,66","0,65","0,89","5,22","6,91","2,34","3,09","2,96","0,29","0,46","0,86","3,34","-0,48","1,09","2,86","3,78","0,33","0,67","1,30","37,60%","36,75%","27,76%","15,18%","15,70%","5,18%","11,27%","0,34",-%,-%,ESPA3,acoes
2021,"1,71%","11,26",-,"2,84","9,53","12,17","6,96","8,89","2,93","0,92","0,74","2,84","22,51","-1,49","1,05","2,57","3,28","0,32","0,67","1,12","40,70%","40,88%","31,99%","25,26%","25,19%","8,14%","13,90%","0,32",-%,-%,ESPA3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,07","2,83","5,18","0,23","0,76","1,30","45,72%","24,11%","13,16%","11,90%","18,58%","4,25%","1,32%","0,36",-%,-%,ESPA3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,32","1,21","1,66","0,18","0,80","1,07","55,93%","33,63%","24,49%","7,88%","25,56%","4,54%","20,63%","0,58",-%,-%,ESPA3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,49","0,89","1,13","0,25","0,74","1,03","52,88%","31,13%","24,57%","9,79%","17,25%","4,25%","17,25%","0,43",-%,-%,ESPA3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,03","-0,07","-0,08","0,39","0,59","1,11","57,95%","33,16%","28,73%","18,48%","21,71%","8,54%","21,62%","0,46",-%,-%,ESPA3,acoes
ATUAL,"1,67%","25,50","0,23","4,18",-,"15,77",-,"12,53","2,81","1,06","0,46","3,54","4,43","-1,74","1,13",-,"3,37","0,25","0,75","2,55","37,99%",-%,"28,26%","13,88%","16,40%","4,14%","8,10%","0,30","571,04%","537,78%",VAMO3,acoes
2021,"1,64%","29,09",-,"4,43","13,31","18,53","11,15","15,53","2,70","1,15","0,41","4,15","3,18","-2,20","0,86","2,16","3,00","0,26","0,74","4,09","36,59%","37,18%","26,69%","14,25%","15,24%","3,95%","6,60%","0,28","571,04%","523,40%",VAMO3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,12","3,26","5,64","0,12","0,88","1,29","34,21%","42,21%","24,42%","11,84%","35,40%","4,24%","8,64%","0,36",-%,-%,VAMO3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,34","3,11","5,60","0,16","0,84","1,49","34,10%","43,55%","24,16%","11,70%","28,89%","4,64%","8,95%","0,40",-%,-%,VAMO3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,49","2,00","3,96","287,37","712,63","0,86","33,47%","46,13%","23,29%","12,03%","19,42%","5.581,46%","11,43%","464,04",-%,-%,VAMO3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,85",-,"0,00","0,35","0,65","0,00","50,78%",-%,"39,48%","19,50%","11.624,33%","4.013,00%","8.492,27%","205,76",-%,-%,VAMO3,acoes
2016,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,99","3,88","5,90","0,20","0,80","0,48","44,46%","64,08%","42,13%","20,60%","24,76%","5,02%","8,87%","0,24",-%,-%,VAMO3,acoes
ATUAL,"1,63%","21,65","-1,41","4,10","20,25","22,04","20,84","22,68","6,03","2,42","1,14","2,49","4,80","-12,46","-0,13","-0,64","-0,69","0,59","0,41","2,66","29,30%","11,93%","10,96%","11,48%","18,93%","11,16%","14,21%","0,97",-%,-%,INTB3,acoes
2021,"0,59%","25,14",-,"4,82","22,26","23,92","23,52","25,27","5,80","2,58","1,11","2,97","5,43","-15,26","-0,26","-1,26","-1,35","0,53","0,46","2,33","29,45%","12,62%","11,75%","11,81%","19,18%","10,25%","14,98%","0,87",-%,-%,INTB3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,26","-0,63","-0,65","0,40","0,60","1,89","32,84%","18,92%","18,10%","15,37%","33,59%","13,43%","25,39%","0,87",-%,-%,INTB3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,19","-0,69","-0,74","0,45","0,55","1,96","34,93%","11,67%","10,83%","11,15%","26,13%","11,83%","18,44%","1,06",-%,-%,INTB3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,30","-0,93","-0,98","0,48","0,52","2,03","36,55%","13,86%","13,05%","11,28%","25,97%","12,59%","22,19%","1,12",-%,-%,INTB3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,26","-0,72","-0,75","0,44","0,56","1,86","35,03%","12,73%","12,15%","12,27%","35,31%","15,46%","23,91%","1,26",-%,-%,INTB3,acoes
ATUAL,"0,74%","39,47","-1,75","1,05","4,22","18,06","7,36","31,55","1,92","0,65","0,05","1,91","2,08","-1,25","-0,46","-3,22","-13,79","0,62","0,38","2,88","65,29%","25,96%","6,06%","4,84%","2,67%","1,65%","1,55%","0,34",-%,-%,NGRD3,acoes
2021,"0,47%","42,96","2,36","1,34","8,93","15,98","13,78","24,66","1,96","0,82","0,06","2,56","2,53","-1,60","-0,47","-4,85","-8,67","0,61","0,39","2,94","66,53%","18,55%","10,37%","5,95%","3,12%","1,90%","2,97%","0,32",-%,-%,NGRD3,acoes
2020,-%,"138,07",-,"3,76","29,10","43,05","33,80","50,01","1,90","2,58","0,05","8,03","5,10","-7,05","-0,52","-4,71","-6,96","0,69","0,31","4,95","65,36%","23,75%","16,05%","5,81%","2,72%","1,87%","3,77%","0,32",-%,-%,NGRD3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,74","2,25","3,51","0,41","0,59","1,19","70,08%","21,69%","13,89%","4,18%","6,30%","2,59%","9,03%","0,62",-%,-%,NGRD3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,22","1,00","1,32","0,38","0,62","0,76","68,58%","16,35%","12,40%","6,74%","9,15%","3,45%","9,08%","0,51",-%,-%,NGRD3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,10","0,67","0,98","0,57","0,43","1,32","65,50%","10,73%","7,34%","4,76%","6,84%","3,89%","6,82%","0,82",-%,-%,NGRD3,acoes
ATUAL,-%,"-1,05","-0,05","-5,75","-5,38","-5,20","-1,77","-1,71","-3,23","0,23","-17,57","2,16","-3,40","-0,35",-,"-3,61","-3,49","-0,04","1,04","0,83","-4,59%","-122,04%","-126,33%","-204,76%","-544,82%","-22,10%","-28,99%","0,11",-%,-%,AVLL3,acoes
2021,-%,"-1,66","-0,07","47,86","-5,83","-5,62","-2,54","-2,45","0,59","0,34","-16,82","2,75","-26,78","-0,52","61,99","-3,29","-3,17","0,01","0,99","0,97","-1,98%","-108,47%","-112,46%","-165,48%","-2.875,53%","-20,25%","-27,71%","0,12",-%,-%,AVLL3,acoes
2020,-%,"-1,72",-,"1,35","-4,06","-3,85","-1,85","-1,75","17,51","0,23","-13,68","2,94","1,67","-0,39","1,62","-2,22","-2,10","0,17","0,83","1,50","-34,97%","-158,89%","-167,68%","-170,20%","-78,14%","-13,36%","-22,16%","0,08",-%,-%,AVLL3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,03","-2,32","-2,20","0,10","0,76","1,72","-94,56%","-245,92%","-259,74%","-299,28%","-211,08%","-22,08%","-27,91%","0,07",-%,-%,AVLL3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-5,53","-5,27","-0,07","1,10","1,80","-296,90%","-746,63%","-783,49%","-1.053,24%","-295,57%","-21,26%","-20,98%","0,02",-%,-%,AVLL3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,32","-3,08","-2,99","0,13","0,81","2,54","-324,82%","-507,87%","-523,13%","-531,71%","-147,16%","-19,20%","-23,37%","0,04",-%,-%,AVLL3,acoes
ATUAL,-%,"-26,57","2,79","1,74",-,"10,43",-,"13,43","18,76","1,27","-1,23","6,82","5,55","-2,00","-0,41",-,"-3,17","0,73","0,27","2,62","57,20%",-%,"50,77%","-25,67%","-6,55%","-4,76%","12,32%","0,19",-%,-%,RRRP3,acoes
2021,-%,"-7.510,49","75,37","1,65",-,"10,45",-,"16,38","20,28","1,25","0,00","9,34","3,17","-2,48","-0,60",-,"-5,93","0,75","0,23","4,79","56,10%",-%,"57,03%","-0,12%","-0,02%","-0,02%","8,39%","0,13",-%,-%,RRRP3,acoes
2020,-%,"-15,71",-,"3,78",-,"-23,21",-,"-23,64","9,84","1,93","-2,37","19,94","6,20","-3,05","-0,07",-,"0,42","0,51","0,49","6,74","47,99%",-%,"-84,38%","-126,92%","-24,07%","-12,29%","-11,55%","0,10",-%,-%,RRRP3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,27",-,"4,16","0,60","0,40","2,71","50,52%",-%,"-47,16%","-98,66%","-13,50%","-8,06%","-8,07%","0,08",-%,-%,RRRP3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,32",-,"-3,25","0,60","0,40","3,14","65,45%",-%,"75,48%","-34,93%","-4,60%","-2,76%","8,57%","0,08",-%,-%,RRRP3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,52",-,"2,00","0,51","0,49","5,46","66,39%",-%,"-172,23%","-151,16%","-22,68%","-11,62%","-28,16%","0,08",-%,-%,RRRP3,acoes
ATUAL,-%,"-1,96","-0,02","0,58","1,04","0,95","-1,82","-1,66","2,02","0,51","-0,60","2,06","0,66","-3,98","-0,91","2,86","2,61","0,88","0,12","8,71","27,09%","-113,52%","-124,55%","-105,10%","-29,44%","-26,00%","-34,89%","0,25",-%,-%,ENJU3,acoes
2021,-%,"-4,75","-0,02","1,33","-1,38","-1,27","-4,53","-4,17","2,15","1,19","-0,60","5,31","1,49","-10,52","-0,92","3,14","2,90","0,90","0,10","10,62","26,17%","-117,39%","-127,26%","-111,91%","-27,98%","-25,15%","-31,82%","0,22",-%,-%,ENJU3,acoes
2020,-%,"-80,07",-,"5,01","-81,73","-63,92","-102,39","-80,09","2,54","4,71","-0,16","31,31","5,21","-111,20","-1,01","20,67","16,16","0,94","0,06","17,86","35,41%","-30,58%","-39,09%","-39,10%","-6,26%","-5,88%","-6,26%","0,15",-%,-%,ENJU3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,00","0,97","0,73","0,40","0,60","0,92","31,38%","-28,85%","-38,37%","-38,67%","-138,89%","-56,17%","-132,02%","1,45",-%,-%,ENJU3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,03","2,24","1,93","0,69","0,31","2,72","22,00%","-42,08%","-48,76%","-51,53%","-56,29%","-38,58%","-51,13%","0,75",-%,-%,ENJU3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,08",-,"0,80","0,50","0,50","1,28","26,03%",-%,"-40,22%","-38,29%","-128,51%","-64,76%","-136,33%","1,69",-%,-%,ENJU3,acoes
ATUAL,-%,"-20,85","0,06","1,51",-,"-5,51",-,"-11,11","0,83","1,17","-0,06","3,36","1,83","-4,27","-0,75",-,"5,51","0,78","0,21","8,57","-30,21%",-%,"-30,21%","-16,10%","-7,25%","-5,63%","-16,41%","0,35",-%,-%,CASH3,acoes
2021,"1,14%","-68,87","0,24","3,84",-,"-30,82",-,"-38,38","0,84","2,88","-0,05","9,88","4,57","-11,05","-0,76",-,"7,56","0,75","0,23","6,82","-25,75%",-%,"-25,75%","-14,35%","-5,57%","-4,19%","-12,16%","0,29",-%,-%,CASH3,acoes
2020,-%,"96,19",-,"5,34",-,"55,01",-,"66,63","2,81","5,03","0,16","15,13","5,66","-84,26","-0,93",-,"-11,62","0,94","0,05","18,49","22,71%",-%,"22,71%","15,73%","5,56%","5,23%","5,56%","0,33",-%,-%,CASH3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,00","0,00","0,00",-,"10,56%",-%,"10,56%","18,45%",-%,"39,76%",-%,"2,16",-%,-%,CASH3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,00","0,00","0,00",-,"-17,34%",-%,"-17,34%","-16,88%",-%,"-35,91%",-%,"2,13",-%,-%,CASH3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,20",-,"1,08","0,65","0,35","2,57","-65,85%",-%,"-66,18%","-62,83%","-105,89%","-69,25%","-111,54%","1,10",-%,-%,CASH3,acoes
ATUAL,"1,41%","92,92","0,56","29,03","11,68","13,08","67,70","75,81","0,30","17,25","0,09","17,28","32,89","-72,61","0,03","0,08","0,09","0,59","0,41","3,20","59,33%","25,53%","22,80%","18,60%","31,24%","18,56%","24,94%","1,00",-%,-%,TFCO4,acoes
2021,"0,77%","159,46","0,80","45,94","20,42","23,04","120,65","136,13","0,28","25,90","0,08","28,31","51,48","-114,04","0,05","0,12","0,14","0,56","0,44","2,87","59,82%","23,46%","20,79%","17,75%","28,81%","16,24%","22,72%","0,92",-%,-%,TFCO4,acoes
2020,-%,"473,69",-,"60,68","39,16","49,94","237,14","302,38","0,21","34,29","0,03","45,77","67,54","-161,55","-0,19","-0,74","-0,94","0,57","0,43","2,81","58,29%","19,30%","15,14%","9,66%","12,81%","7,24%","12,25%","0,75",-%,-%,TFCO4,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,27","0,08","0,11","0,05","0,93","0,93","53,30%","19,18%","14,46%","10,75%","184,71%","8,54%","29,50%","0,79",-%,-%,TFCO4,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,16","-0,54","-0,59","0,69","0,31","3,39","57,31%","15,13%","13,78%","10,36%","20,72%","14,33%","19,77%","1,38",-%,-%,TFCO4,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,18","-0,33","-0,35","0,68","0,32","3,50","61,74%","24,09%","22,66%","16,47%","37,03%","25,08%","37,74%","1,52",-%,-%,TFCO4,acoes
ATUAL,-%,"10,16","2,94","1,23",-,"9,96",-,"8,43","2,99","0,78","0,36","0,48","1,78","-2,02","0,22",-,"1,53","0,63","0,36","3,44","22,95%",-%,"5,64%","4,68%","12,12%","7,65%","10,76%","1,63",-%,-%,GMAT3,acoes
2021,-%,"17,55","3,85","2,08","12,22","15,76","11,28","14,54","2,90","1,34","0,34","0,84","2,88","-3,62","0,17","0,95","1,22","0,64","0,35","3,80","23,32%","7,44%","5,77%","4,78%","11,85%","7,62%","10,59%","1,59",-%,-%,GMAT3,acoes
2020,-%,"25,45",-,"3,27",-,"20,17",-,"21,24","2,55","2,25","0,33","1,49","3,93","-8,66","-0,16",-,"-1,07","0,69","0,30","4,46","24,11%",-%,"7,02%","5,85%","12,86%","8,85%","12,60%","1,51",-%,-%,GMAT3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,47",-,"1,93","0,46","0,53","2,75","25,91%",-%,"5,74%","4,20%","17,87%","8,19%","13,87%","1,95",-%,-%,GMAT3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,34",-,"1,25","0,45","0,53","2,31","26,42%",-%,"6,15%","4,34%","19,37%","8,80%","17,70%","2,03",-%,-%,GMAT3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,36",-,"1,55","0,45","0,55","2,22","26,43%",-%,"4,97%","2,79%","13,17%","5,98%","15,62%","2,14",-%,-%,GMAT3,acoes
ATUAL,-%,"-24,95","-0,02","1,27","6,22","22,55","3,64","13,19","4,08","0,37","-0,21","0,44","5,08","-0,54","0,89","2,54","9,23","0,29","0,71","1,29","17,82%","12,13%","3,35%","-1,77%","-5,08%","-1,48%","4,01%","0,84",-%,-%,SEQL3,acoes
2021,-%,"-110,38","0,31","3,28","13,50","51,49","10,77","41,09","4,31","0,99","-0,13","1,30","15,56","-1,47","0,83","2,73","10,40","0,30","0,70","1,25","17,52%","12,04%","3,16%","-1,17%","-2,97%","-0,90%","3,02%","0,77",-%,-%,SEQL3,acoes
2020,-%,"411,56",-,"7,03","27,16","70,55","25,49","66,20","3,24","2,10","0,06","2,90","7,60","-4,34","0,46","1,67","4,35","0,30","0,70","2,16","21,58%","11,37%","4,38%","0,70%","1,71%","0,51%","3,30%","0,73",-%,-%,SEQL3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,97","3,95","10,48","0,14","0,86","1,06","19,84%","12,30%","4,63%","-1,36%","-8,28%","-1,17%","4,38%","0,86",-%,-%,SEQL3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,80","1,85","4,37","0,28","0,72","1,05","19,90%","10,72%","4,55%","-0,18%","-0,71%","-0,20%","7,73%","1,14",-%,-%,SEQL3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,07","2,03","3,94","0,27","0,73","0,96","25,40%","13,25%","6,83%","0,97%","3,87%","1,04%","11,48%","1,07",-%,-%,SEQL3,acoes
ATUAL,"1,45%","13,81","0,04","1,44",-,"35,25",-,"58,66","3,81","1,17","0,40","3,04","2,38","-2,76","-0,58",-,"-23,73","0,81","0,19","6,96","51,84%",-%,"5,18%","22,01%","10,42%","8,48%","-1,28%","0,39","6,65%",-%,BOAS3,acoes
2021,"1,45%","20,57","0,09","1,57",-,"-214,97",-,"-341,10","3,81","1,28","0,29","4,24","2,60","-3,01","-0,58",-,"126,14","0,81","0,19","6,96","50,89%",-%,"-1,24%","20,64%","7,65%","6,23%","-2,81%","0,30","6,65%",-%,BOAS3,acoes
2020,"0,43%","130,12",-,"3,38",-,"66,00",-,"80,92","3,74","2,50","0,10","9,64","4,86","-6,21","-0,62",-,"-14,92","0,74","0,26","7,24","44,97%",-%,"11,91%","7,41%","2,60%","1,92%","3,02%","0,26",-%,-%,BOAS3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,67",-,"1,71","0,45","0,55","0,69","45,80%",-%,"20,62%","11,25%","21,21%","9,56%","15,20%","0,85",-%,-%,BOAS3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,38",-,"1,54","0,50","0,50","1,55","41,35%",-%,"15,62%","7,84%","12,33%","6,14%","11,31%","0,78",-%,-%,BOAS3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,54",-,"3,30","0,50","0,50","0,84","35,71%",-%,"9,79%","3,00%","4,98%","2,49%","8,24%","0,83",-%,-%,BOAS3,acoes
